quizzes,solutions
000000000080040000640020005000800004560030000000701300037000006206009050850007400,395678241782145639641923875173896524568234197924751368437512986216489753859367412
040005000000009500007680409100000000008060050000910683014000000000734006002000090,941275368286349571537681429163528947798463152425917683614892735859734216372156894
300147002700500000000000050004000200530001040000009600050910070008002030040030000,385147962726593481491286357164378295539621748872459613253914876918762534647835129
000003900000920040000000600068401020500000000004397500000006000200104009015000300,742613985653928147891745632968451723537862491124397568389576214276134859415289376
009065000700100200005000400000081706000700025000004000040000010583002600006400000,419265837768143259325879461952381746834796125671524398247658913583912674196437582
009000000305076000740503000000007000000000895001480003010000000890004050007850001,169248537385176429742593186658937214473621895921485763514362978896714352237859641
000000007900602000003090024002086003030000091000400000000001050301900072000720009,285314967914672538673598124592186743438257691167439285729841356341965872856723419
017020009430008000000010030306802400000070200090000008050701900200430000000000000,617324589435698127928517634376852491184976253592143768853761942261439875749285316
000000609190008020030407000003000010020080000700120050002000003080000160005041000,578312649194568327236497581853674912621985734749123856912856473487239165365741298
820509007593000080000008000005600010001000700000024900000860500089400000600093000,824519367593276481716348295945637812261985734378124956437861529189452673652793148
005001630000000802000450000054000000002900000000020061000610007000302000001090048,795281634413769852286453179854176293162934785937825461349618527578342916621597348
003000071100400300080000006001649080000700020070120504600580000300000010008900005,543896271162475398987312456251649783436758129879123564614587932395264817728931645
008420090001003000000907005020600003006000800009100050000059030000000000740001006,578426391291583764364917285827695143156342879439178652612759438983264517745831926
014806300200031000600002004000000000002008900807015020003200600006050001400000003,914876352275431869638592174541629738362748915897315426153284697786953241429167583
010000000907640300050300014000000007000109006030000008170008009300400000040000760,413895672927641385658327914569283147784159236231764598176538429392476851845912763
068009203000000000009003006000691040040050700201000050080004025093000004020010000,768549213352167498419283576875691342946352781231478659687934125193725864524816937
300000007000000802096000003010000704902700000500020000000060419000080000071002500,328516947154973862796248153813659724942731685567824391285367419439185276671492538
000100006000020800036008500002860000078402005000000000805709030007006009000040200,789154326514623897236978541952867413178432965463591782825719634347286159691345278
001004900008063000040000210000710800000050472080000000270080695000000000305090000,751824936928163547643975218462719853139658472587432169274381695896547321315296784
005000260000000910000031500370109000002700000900006008049000000700280090600010000,135897264487562913296431587378159642562748139914326758849675321751283496623914875
000030000000000025190400008006000003900006000000010604010000200740001800569087040,274835916683179425195462738456928173931746582827513694318694257742351869569287341
002030800000001450005000601070003000400000180050902000060700020000800000090054000,612435897389671452745298631976183245423567189158942376864719523537826914291354768
000000502070910043000070009086300700300002000290000004050000000000080060600541000,169438572872915643435276189586394721347152896291867354753629418914783265628541937
000007120080000560002050080040000000050074000803001000067320000098000003000000450,635847129984132567712659384246983715159274638873561942467325891598416273321798456
635070200800910056290000400300046001050207003040000508000430102507060000010008960,635874219874912356291653487382546791159287643746391528968435172527169834413728965
090000000014009005300080102000005010000000900430021000100000780285000039009600000,692153478814279365357486192978345216521867943436921857163592784285714639749638521
240060000000000038007400009010000000000630090000790041105800000800006350072000000,243968715961527438587413629719284563458631297326795841135842976894176352672359184
000020900000050000002700180040000210730900000000180090900000000006040500050000024,578421963193856742462793185849537216731962458625184397984275631216348579357619824
000005100000000230048000000000000000300400000000290008000001000006703000050000009,239645187567189234148372965682537491395418726471296358824961573916753842753824619
001309050000600403000020800083040902720003000064590700600004007070050069305800020,841379256257618493936425871583746912729183645164592738612934587478251369395867124
000000009000530820000002007000004102504090073100070000000300006030007001009810000,452781369761539824983462517378654192524198673196273458817325946635947281249816735
000500000008000467000900201800000190709108002503000600000002000005010020470600000,241576389958321467637984251824765193769138542513249678196852734385417926472693815
008040000000250094020000007002001050030000000070035400007390010000086075009010000,358749162761253894924168537492871356135624789876935421547392618213486975689517243
000000000000600007307104000006000010874300000500900060000010590002035601040000080,619273845428659137357184926296548713874361259531927468763812594982435671145796382
609004030000700600000000910030000050046000000907020004400038000072600100008005000,629814537513792648784563912231486759846957321957321864495138276372649185168275493
627500000100064000030007000700300008240009000000000500000000290000913050010050306,627531984159864732834297165796325418245189673381476529573648291462913857918752346
020054000603208000170000000500000807800040020007010004000027140000000605000009072,928154736653278491174963258546392817819746523237815964385627149792431685461589372
010000009000003700000468302108006000030000000070205000000070001050800940002000008,813527469264913785597468312128396574935741826476285193389674251651832947742159638
