quizzes,solutions
000000806704000050000000090047000000100000602006500039000004020005126000910700500,293475816764819253581263497347692185159387642826541739678954321435126978912738564
002900000009307052000108000080070006100000570000000023000006090600205038000010060,312954687849367152765128349483572916126839574957641823534786291671295438298413765
000000410100400670000003008070000000300504000900020041030805006705001800090002007,583967412129458673647213958476139285312584769958726341234875196765391824891642537
030080004000000010060009000000000000025810430098530000003060007100708240000120006,537281964942657318861349572314972685725816439698534721283465197156798243479123856
430000900000010307907600040800100000005020000100509020703050000060000053000000402,438275961652914387917683245829147536375826194146539728783452619264791853591368472
004030060200000000000009407008020300030800500007054080150002000000000905670000020,714538269295467138386219457568721394431896572927354681153982746842673915679145823
800000000020006500000830000010548090069000000400002007500000180902000705000050923,896275431324196578175834269713548692269713854458962317547329186932681745681457923
042816900600000005000000080009000000700320090405900000001600200070008000004007003,542816937698473125317592486129765348786324591435981762851639274273148659964257813
800000030020009000309702600050000007200000010600231040000060705960500100000103000,817456932526319874349782651153894267294675318678231549431968725962547183785123496
006300054000000009700094200200506010050000000060203080540030000009602400001000000,896327154412865739735194268278546913153789642964213587547931826389652471621478395
600002000800000039019000706000150020041009053000000900900500078000000000108036002,637892145854617239219345786396154827741289653582763914963521478425978361178436592
000008000080900007000023006410056003006000018050830004090000000700010300300007005,143678259682945137579123846418256793236794518957831624895362471764519382321487965
060300200031020004000078050000900530070200090302006400000000801700000940000000060,867354219531629784924178653186947532475283196392516478649735821713862945258491367
000000600093070200000003080040000000005760904001300020960005070200100400010006300,172854639893671245456923781749512863325768914681349527964235178238197456517486392
500000000000007064074001800000300200006074000003910040010000002209060400007003019,562438971198527364374691825741356298926874153853912746415789632239165487687243519
080005020000080945200000000700000050000692080040070009070400500002036000430000670,984365721163287945257914368729843156315692487846571239671428593592736814438159672
000074059000806320000050000007000000000060940060095107400700005601008400800000000,126374859759816324384952716947183562513267948268495137492731685671528493835649271
107060500600900003008000000000109045000300709080000030502006000003000900001403050,137264598624985173958731426376129845215348769489657231542896317763512984891473652
050087600073610002600000003500002100490000020000000900847050000000100800005700000,254387619973615482618924753586492137491873526732561948847259361329146875165738294
000003000920000180050900000005020007040007000008410056080200300007600000000070090,764183529923765184851942763195826437246537918378419256689254371537691842412378695
280000037010000004500098001900000405700060800852000000000054300000820009000006700,286415937319672584574398261963281475741569823852743196627954318135827649498136752
403001052080720000000400010140087000005000806079000000608500907000000025000900000,463891752581723469792456318146287593235149876879635241628514937914378625357962184
600710900020406500005009000001900080038002000700000004000800005006000017300500069,643715928129486573875239146451973682938642751762158394297861435586394217314527869
007080302040000070200500060500000008000005007800620040410000000000139000020400080,167984352945362871283517964592741638634895217871623549416258793758139426329476185
080000040900004008500070000000460000170008060008003009000000000043206091800709200,687932145921654378534871926395467812172598463468123759219345687743286591856719234
006000000500080604007500028208001009030090400000302000700230800060000341040000000,486129753529783614317546928278461539135897462694352187751234896862975341943618275
